from_country,AE,AR,AT,AU,BD,BE,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LK,LV,MM,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PR,PS,PT,RE,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,US,UY,ZA,ZM
DK,0.040709266758306724,0.02448754785601232,0.08741115489458648,0.40086969004913625,0.09579384322594475,0.35724196617980886,0.15340341456424136,0.2618645749237852,0.1521363388543425,0.09812155726447373,0.5401596619517861,0.09276129365207228,0.2774028399277644,0.4148596215591271,0.05289650271995241,0.05284299764398908,0.27630663473767675,0.19616118984137793,0.3827792575361482,0.45877854134656315,0.07528286657666218,0.1997698425688411,0.11432391875711491,0.07722693830522505,0.036307817340083724,0.1522232557791975,0.04790313142166771,0.07436376537000863,0.27506656939720864,0.09266643621076084,0.32484974742170086,1.2253231983437745,0.13953613295482503,0.24692279279145873,0.0723348629638318,0.04706454716664889,0.05092386473945157,0.019489884555843884,0.1705192528719717,0.12726708765420283,0.1883265207026943,0.09599089748510863,0.03712271003039206,0.16253781221611702,0.16521844812252004,0.031289608498681155,0.13124084729995014,0.05523256648027584,0.12883750385657167,0.04285573940558517,0.08997062631771305,0.0717855667944748,0.08313578290960273,0.08194413706911664,0.20379181435961957,0.2284998030635072,0.07395775821375422,0.04973780855645013,0.341841834771709,0.1210217154067571,0.4693540135122328,0.6528387166827809,0.05053163761448404,0.1893931191992015,0.03603206904965236
EE,0.04467661580738114,0.03223225713472656,0.09051567599035824,0.42921002597806074,0.10125547096327209,0.38915004766807343,0.16651140381372026,0.2831992966093523,0.1577276018964689,0.1104952560067627,0.5878465020733731,0.10213434094370842,0.29463362944507965,0.4428814739861907,0.05284299764398908,0.06446451426944279,0.29859068907115605,0.21291101521523292,0.41187537872513047,0.501907999537817,0.08169970379383656,0.21220207727544785,0.12409822561177788,0.08478301716739897,0.03658147618671806,0.15940436004080186,0.05246315278366711,0.08265993951120237,0.2990504546059284,0.10048270696992445,0.3528870074118226,1.3227715896553984,0.14309023586534722,0.26575859647444666,0.08277916404508959,0.048930971786764796,0.05358829722991557,0.02190364353253531,0.18383640988651673,0.13504721396611843,0.20502022436822678,0.09891390195521274,0.03712271003039023,0.17773942275132631,0.1811198222172103,0.03895753585636941,0.14369767708627565,0.059725903927837054,0.13856878580685922,0.04555956101633893,0.10212614748433504,0.0817029840336622,0.08775193217245936,0.08443013443081548,0.2188841191133424,0.2455952108653985,0.07748237477000511,0.054507977397828845,0.36792067840765097,0.12960617269256047,0.5105584957672217,0.7051247106717768,0.057696138518976745,0.19856482568667522,0.03870077518603247
ES,0.22185580902928922,0.15622404296397638,0.47524962535496124,2.2218913362265678,0.5274625715630447,1.915885774883118,0.8768311956130692,1.4148119274309507,0.8340070944544061,0.5645571021608006,3.009373909369392,0.5154593877308216,1.526513575308123,2.286569510774781,0.27630663473767675,0.29859068907115605,1.8887065186524725,1.0602038022949158,2.1049711058350153,2.543094077614791,0.4250623366049139,1.1000002179998134,0.6410161420746362,0.4320671128425663,0.19548482396338446,0.8425731253726665,0.27564765843384026,0.4232100939249639,1.5112181723366287,0.5068334574593738,1.7806543039007288,6.697240146536567,0.766143922771706,1.410140920050113,0.42289846299084655,0.27156934657648096,0.2978111072476463,0.11540255629751256,0.9322562660556929,0.6922048898991736,1.0226828278599904,0.5196126522708866,0.19715942787505694,0.8840918178560749,0.9288647348241552,0.1938020423008411,0.7333633816872975,0.32172102138335323,0.6632051435265516,0.25004140137182856,0.5234721673594802,0.43171651393009014,0.46663004789667356,0.4594739095965032,1.1446322728280063,1.265688264779136,0.41259781822023023,0.27160088291462703,1.8669145008811094,0.6672392782202642,2.608353018363317,3.591700697942319,0.29504407738488025,1.063010186027957,0.19423828252939673
FI,0.16179866995743386,0.11066720562119071,0.3425127291065741,1.6146667488986128,0.38101148276653785,1.4159601450605492,0.638683154936776,1.0348187085671183,0.605142751753773,0.4122529631185964,2.1830367757780738,0.3793948676512287,1.112486198745737,1.6663593965289298,0.19616118984137793,0.21291101521523292,1.0602038022949158,0.9354132100844573,1.5398254316641706,1.8517632315176367,0.3092955376334849,0.799198994994294,0.4751296543048201,0.3133933496422487,0.14249726453512687,0.6157447146344451,0.19990875418543244,0.3022385812566167,1.1090651198195818,0.3742228726306423,1.2939521079235499,4.872713412462383,0.5547676356820701,1.015762022522986,0.3102244187679708,0.19749407586058165,0.2169111117484987,0.08218126307134424,0.6796718255160363,0.5105488670047686,0.7560886590873032,0.37641264112687617,0.139472927839018,0.6424269371687538,0.6791118011052056,0.1413872073421441,0.5278994207231704,0.2279594314783927,0.4922990554531101,0.18044086455119795,0.3901478073755801,0.31263870457766946,0.34244287348400404,0.33471419151264314,0.8346542754939066,0.9153751089032091,0.3028432835644742,0.1975953187705167,1.3689840431503266,0.482019549810878,1.9005544281606335,2.6076601495595195,0.21107673580948713,0.7728205170669178,0.14103599398729846
FR,0.3159566653830677,0.21832627327012627,0.6621555028842784,3.1178661286849403,0.7474626516422465,2.7653310773940976,1.2199364993315107,2.0285646976126643,1.1720986552337198,0.7952634783515066,4.283692522859146,0.7244038185983124,2.129485367313857,3.2376713408862647,0.3827792575361482,0.41187537872513047,2.1049711058350153,1.5398254316641706,4.148106533636464,3.5882181971556646,0.6030442292236726,1.5430639741761045,0.9069887741311532,0.6038478099653153,0.26746834130405533,1.1729697448784129,0.37999169675125616,0.5830893928036168,2.152269194966243,0.7253038326108027,2.5396496570196048,9.558270466459934,1.0726230062792923,1.9592901235906606,0.5977669164482364,0.38301101811820537,0.413560094303227,0.1562465948428934,1.3174467664389278,0.9793744613781794,1.478112477993237,0.7286626478691387,0.26546738858107766,1.2630311318412557,1.3076589095023883,0.26689956088384714,1.0165677498323662,0.4383008939074501,0.9669019424947828,0.34865359255288453,0.743120990418311,0.6044120435597424,0.6568115562317419,0.6398222453151643,1.6082291527019186,1.771866419231235,0.5792472135451893,0.3835123069734341,2.6677939443666827,0.9364359051208976,3.680242265449554,5.082419599521581,0.4125952496089838,1.4881657583754484,0.2639136032870826
GB,0.37566804016326977,0.26895697722869844,0.7985934825680225,3.77470012350655,0.8972004449396873,3.3125520331611367,1.4723420118979358,2.446006639320754,1.4163968957885271,0.9540815151754962,5.137409934159343,0.8757542120936537,2.5891577317727412,3.8994814816331362,0.45877854134656315,0.501907999537817,2.543094077614791,1.8517632315176367,3.5882181971556646,6.071573687274311,0.7245475716608805,1.8575292648032278,1.0906466749591954,0.724343316390622,0.324328226338694,1.418106117326895,0.459456567697268,0.7046930951839531,2.5782424398026746,0.8770888281125483,3.0555773000202557,11.626517765866213,1.3031381685760606,2.3544595452037735,0.7234823386926835,0.45835519458153134,0.49946362229913704,0.18584113538176428,1.5923635846124184,1.1780986428989673,1.7894283149653036,0.8756456248962493,0.32780940743063886,1.5190428532467113,1.580365778419247,0.32281164539084195,1.2223957197241428,0.5323283783529749,1.17655787294954,0.41770574140171274,0.8976812788511928,0.7280684627150852,0.7959959547634515,0.7731428429471532,1.9424341923471855,2.146114229858435,0.7043700800004425,0.46443047229930917,3.2206519135728007,1.1415688277103948,4.45023075244451,6.138826879982781,0.4964754173167546,1.8022014267001158,0.32244301884200677
GH,0.06451765339814074,0.0446766158073875,0.13542513208408516,0.6275505394788276,0.15043603291764962,0.5584888091986127,0.24382880551721356,0.4093414496482594,0.2375482022663416,0.16021607285157377,0.8489492564339819,0.14670128015797704,0.42555897358646205,0.6524512499795208,0.07528286657666218,0.08169970379383656,0.4250623366049139,0.3092955376334849,0.6030442292236726,0.7245475716608805,0.0,0.30708116190981605,0.1838300856770614,0.12309341980788661,0.05053163761448148,0.2377768626254624,0.07887212688906267,0.1164423823185042,0.43518591843026916,0.14836727941163555,0.5113957543818165,1.9087259917546544,0.21488020476532463,0.38937062601057987,0.12018770486207324,0.07836968546575729,0.08133661168255713,0.03344765462628272,0.2725276639168104,0.19658200934968192,0.301656225528285,0.14815172763090392,0.05189132875539146,0.25566470229571625,0.26502672770862723,0.0520826420220836,0.20944574094504098,0.08898084063436568,0.19838275731533145,0.06795932901373182,0.14938389605311048,0.1193006286655371,0.13142963897080104,0.13123033795586092,0.3252659459579949,0.36041394867574716,0.12004061812573018,0.07095348053475418,0.5372381386314906,0.19295660030163733,0.7410490874428485,1.0196733655444674,0.083372657388345,0.2975049518916879,0.05647796030308943
GR,0.1633837091022661,0.11251093280213131,0.33632360547552015,1.6182666725850723,0.38300327100450127,1.4436592257176224,0.6297316758745232,1.0512594486614357,0.60787466997715,0.407036147780791,2.188396519006676,0.3765249266646999,1.105237487420866,1.6658517310980303,0.1997698425688411,0.21220207727544785,1.1000002179998134,0.799198994994294,1.5430639741761045,1.8575292648032278,0.30708116190981605,1.076839523049195,0.46688231664968627,0.3063778523326759,0.14116642660342313,0.6127171220066644,0.1950681511676942,0.29739892131607576,1.1116411361586462,0.38039288952353456,1.3089139161918224,4.934423599003177,0.5581093742270633,1.0013142563655661,0.3104017467734526,0.1952416185141495,0.2110842068939078,0.08372667675237971,0.6849686004484625,0.5073472578030876,0.7658532903894932,0.3765206267922848,0.13921956184389067,0.6546781609311041,0.680063192357655,0.1372329931176194,0.5254834558763846,0.22302907344119483,0.5100042254726301,0.17773942275131682,0.3844996228868481,0.30300392340686993,0.34168622799297943,0.3320793104064837,0.8292599023225542,0.9143033509727098,0.29636516326979645,0.1969825332357633,1.3768765776203122,0.4878696809601269,1.9015710792921177,2.625964637690443,0.21021268848473443,0.7639790950021771,0.1387186490706227
HK,0.09381819866107695,0.06405742423798318,0.20148695143865294,0.9485807822215913,0.2254670166566025,0.8414149035996267,0.36853244090571013,0.6283533499551746,0.35626199572781087,0.2381023611809846,1.2869591297314422,0.22077354823437637,0.6493616677938631,0.9845534630480655,0.11432391875711491,0.12409822561177788,0.6410161420746362,0.4751296543048201,0.9069887741311532,1.0906466749591954,0.1838300856770614,0.46688231664968627,0.3355661866161138,0.18092804204982393,0.07849875413028656,0.35894399786024045,0.11601450943743662,0.1737583379294541,0.6493034886706066,0.22064856310429165,0.7675919165807615,2.8891015471939467,0.3270356989687789,0.5912670002631814,0.18416844355107737,0.11431476545047835,0.12494395383533168,0.04642557915633925,0.4038980940783763,0.2984808141237706,0.45081792156034733,0.2193227357115514,0.0814610974637932,0.38585425175824656,0.3973487692191715,0.07812035586195275,0.3035421018573221,0.13428742904676924,0.29925558574557826,0.10486769569321314,0.2224946525199403,0.17920053124928703,0.1986191974608202,0.19311701737542286,0.4907759798524331,0.5404447931101463,0.17153723677379873,0.11955423706421112,0.8152498159463657,0.28454297320429467,1.1199015070975902,1.5353470319117883,0.12639724047618528,0.44851646970869796,0.08194084695681898
HR,0.061203450883121006,0.045994625773035085,0.13336151018935638,0.6280109757003348,0.1523562929451661,0.5658044552669652,0.24580921382231752,0.4151889011039725,0.23433370308170845,0.1630170739523921,0.864227857916882,0.1463333181472266,0.4305411738730562,0.6535162660560659,0.07722693830522505,0.08478301716739897,0.4320671128425663,0.3133933496422487,0.6038478099653153,0.724343316390622,0.12309341980788661,0.3063778523326759,0.18092804204982393,0.15161863210045737,0.051891328755387704,0.23850805520988247,0.07528286657666457,0.1191568713922961,0.4297217239096872,0.15142681268523142,0.5137149991969173,1.9365390546018992,0.21763214376558934,0.3947210655641137,0.1214074725870929,0.07999078946977019,0.08169970379383958,0.030968990942556104,0.2652207382540576,0.20107620445987603,0.29785631703883475,0.14509686557603105,0.053402438146600804,0.2543448871120667,0.2641929408594848,0.055412215259815545,0.2048963991875395,0.08582612888854989,0.20170326621046067,0.07178556679447694,0.1438860312886479,0.1227581671417505,0.1290184730958588,0.12930236811440474,0.3213000491750644,0.3563132189522289,0.11482465937240786,0.07632601391403075,0.5441667259215075,0.19236115616205005,0.7394557238944006,1.0278989825855358,0.08254385258754623,0.29578792132214954,0.056653610652820964
