from_country,AE,AR,AT,AU,BD,BE,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LK,LV,MM,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PR,PS,PT,RE,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,US,UY,ZA,ZM
RE,0.0052,0.00292,0.02668,0.63078,0.03456,0.50018,0.09126,0.2649,0.0863,0.03804,1.19346,0.03236,0.29182,0.68036,0.00808,0.0105,0.2867,0.15622,0.57544,0.84596,0.02246,0.1498,0.05036,0.0209,0.00494,0.0917,0.00874,0.0219,0.29442,0.0347,0.41314,11.2143,0.07336,0.24544,0.0221,0.0094,0.01056,0.00148,0.11336,0.06152,0.13882,0.03316,0.00444,0.1005,0.10912,0.0048,0.06446,0.0121,0.06302,0.00706,0.01716,0.02114,0.027,0.02552,0.16366,0.19994,0.02104,0.00886,0.46072,0.05588,0.89428,1.78638,0.0107,0.13984,0.0041
RO,0.00388,0.00174,0.01776,0.40914,0.02188,0.32728,0.05944,0.17478,0.05562,0.02506,0.77238,0.02186,0.19028,0.44762,0.00518,0.00668,0.19246,0.09898,0.37604,0.55056,0.0144,0.09332,0.03236,0.01518,0.0028,0.0569,0.0057,0.01316,0.19038,0.02142,0.26984,7.34,0.04732,0.1575,0.01424,0.00532,0.0071,0.00104,0.07296,0.03924,0.0917,0.0217,0.0028,0.06678,0.07118,0.00278,0.04084,0.00754,0.04162,0.00484,0.02114,0.00872,0.01744,0.01632,0.10862,0.12974,0.01294,0.00562,0.30086,0.0364,0.57618,1.15598,0.00624,0.09012,0.0031
RS,0.0049,0.0024,0.02094,0.49372,0.02762,0.39686,0.07346,0.20704,0.06694,0.03092,0.94352,0.0256,0.22616,0.5289,0.00696,0.00772,0.22772,0.11972,0.44786,0.6638,0.0175,0.11904,0.03988,0.01656,0.00314,0.06962,0.00696,0.01698,0.2287,0.02756,0.32488,8.77668,0.05762,0.18638,0.01856,0.00772,0.00768,0.00118,0.086,0.04734,0.10942,0.02564,0.00368,0.07832,0.08388,0.00404,0.05114,0.01014,0.04888,0.00568,0.027,0.01744,0.00636,0.01978,0.12702,0.15698,0.01544,0.0073,0.3639,0.04554,0.69634,1.392,0.00788,0.11006,0.0034
RU,0.00416,0.00212,0.02068,0.46316,0.02628,0.37678,0.06768,0.19442,0.06262,0.02836,0.88616,0.02528,0.2119,0.50704,0.00672,0.00718,0.21708,0.1129,0.42288,0.62462,0.01728,0.11146,0.03776,0.01676,0.00294,0.0635,0.0073,0.01438,0.21388,0.02446,0.30852,8.30836,0.05272,0.18112,0.0176,0.00686,0.00818,0.0009,0.08112,0.04522,0.10552,0.02364,0.00366,0.0753,0.08104,0.00294,0.04762,0.0083,0.0466,0.00578,0.02552,0.01632,0.01978,0.0116,0.12012,0.14656,0.01514,0.00624,0.34122,0.04034,0.64972,1.30454,0.00746,0.10358,0.00312
SE,0.0273,0.01342,0.12834,2.96524,0.16456,2.37512,0.43952,1.2534,0.39972,0.1825,5.62048,0.15798,1.34692,3.19228,0.04158,0.04868,1.3736,0.71898,2.71382,3.98078,0.10762,0.70012,0.24376,0.10472,0.02126,0.4124,0.04272,0.10138,1.37034,0.15728,1.94072,52.72794,0.33496,1.12916,0.1086,0.041,0.0486,0.00686,0.52032,0.28216,0.66062,0.1531,0.02158,0.46804,0.51076,0.02118,0.30562,0.0543,0.28998,0.0355,0.16366,0.10862,0.12702,0.12012,0.70192,0.93386,0.09742,0.04324,2.17056,0.26694,4.16736,8.31176,0.04826,0.65052,0.02192
SG,0.03278,0.01754,0.15234,3.6303,0.20246,2.889,0.53452,1.52396,0.49282,0.22502,6.872,0.19418,1.66674,3.91444,0.0528,0.06118,1.68142,0.8779,3.30118,4.86182,0.13184,0.85232,0.29516,0.1283,0.02564,0.50196,0.05278,0.12004,1.68836,0.19358,2.37446,64.33508,0.4164,1.38262,0.13138,0.05278,0.05884,0.0087,0.64564,0.3521,0.81338,0.19256,0.02516,0.57716,0.62882,0.02566,0.36652,0.07154,0.3563,0.04174,0.19994,0.12974,0.15698,0.14656,0.93386,1.0364,0.12108,0.0521,2.6554,0.3235,5.11604,10.21382,0.06018,0.79644,0.02674
SI,0.00338,0.00168,0.01652,0.38482,0.02106,0.30638,0.05714,0.16078,0.05164,0.02356,0.73158,0.01962,0.17384,0.41562,0.0055,0.00604,0.17602,0.09384,0.34784,0.51352,0.0145,0.0887,0.02958,0.01324,0.0029,0.05114,0.00558,0.0127,0.17788,0.0209,0.25122,6.84306,0.04564,0.1464,0.0133,0.0052,0.00672,0.00098,0.0649,0.03654,0.0852,0.02062,0.00254,0.06236,0.06484,0.00298,0.03964,0.0077,0.0392,0.00424,0.02104,0.01294,0.01544,0.01514,0.09742,0.12108,0.00496,0.00584,0.28288,0.0339,0.54284,1.083,0.00632,0.08368,0.00274
SK,0.00136,0.00054,0.0076,0.16186,0.00972,0.13316,0.025,0.0675,0.02372,0.00966,0.31092,0.0093,0.07524,0.17744,0.00248,0.00298,0.07598,0.0397,0.15152,0.22442,0.00506,0.03896,0.01438,0.00586,0.0016,0.02274,0.00254,0.00532,0.07806,0.0086,0.10732,2.9282,0.01808,0.06212,0.0053,0.00226,0.00268,0.00042,0.02996,0.01624,0.03686,0.00836,0.00112,0.02536,0.0287,0.00102,0.01736,0.00324,0.01654,0.00204,0.00886,0.00562,0.0073,0.00624,0.04324,0.0521,0.00584,0.0,0.1218,0.01372,0.22944,0.46012,0.0026,0.03554,0.00118
TH,0.07994,0.03966,0.36326,8.37342,0.46294,6.58202,1.24618,3.47976,1.14782,0.5274,15.8839,0.44168,3.8592,9.03208,0.1196,0.13912,3.78592,1.99836,7.61948,11.18746,0.30268,1.9783,0.68376,0.30588,0.06014,1.17458,0.11814,0.28152,3.89232,0.44296,5.45228,146.39946,0.96216,3.21364,0.30098,0.12286,0.13916,0.02006,1.47168,0.80696,1.85138,0.44694,0.06052,1.32552,1.44202,0.0594,0.86274,0.1619,0.81332,0.10012,0.46072,0.30086,0.3639,0.34122,2.17056,2.6554,0.28288,0.1218,5.63612,0.74908,11.80588,23.42364,0.14012,1.86534,0.0599
TR,0.01046,0.00476,0.04318,1.01778,0.05626,0.8136,0.15098,0.42528,0.13666,0.06414,1.92834,0.05366,0.4699,1.09652,0.01462,0.0168,0.47116,0.24244,0.92366,1.37046,0.03752,0.24088,0.08158,0.03684,0.00758,0.14222,0.01488,0.03296,0.47502,0.05446,0.6666,18.0219,0.11784,0.38794,0.0378,0.01364,0.01668,0.00264,0.18032,0.09636,0.2287,0.05458,0.0071,0.16412,0.17456,0.00722,0.1053,0.01914,0.10036,0.012,0.05588,0.0364,0.04554,0.04034,0.26694,0.3235,0.0339,0.01372,0.74908,0.05808,1.43058,2.84838,0.01804,0.22282,0.0074
TW,0.15394,0.07672,0.69326,16.14464,0.8985,12.86976,2.39054,6.77186,2.1928,0.99388,30.57184,0.85004,7.42794,17.39342,0.2291,0.27168,7.47146,3.88716,14.71526,21.6175,0.5775,3.82048,1.31512,0.57018,0.11462,2.23834,0.2301,0.53408,7.50524,0.85692,10.54854,286.1889,1.85398,6.14582,0.58518,0.23292,0.27054,0.03858,2.83436,1.55106,3.6063,0.84664,0.11396,2.58558,2.78476,0.1141,1.64468,0.30524,1.5905,0.19732,0.89428,0.57618,0.69634,0.64972,4.16736,5.11604,0.54284,0.22944,11.80588,1.43058,22.20976,45.31894,0.27162,3.55464,0.11354
US,0.30348,0.1518,1.38174,32.16146,1.77104,25.46182,4.77812,13.43816,4.39788,2.0011,61.03344,1.6972,14.83164,34.5951,0.4631,0.53632,14.71158,7.71538,29.22488,42.97624,1.15826,7.64096,2.61554,1.15396,0.22592,4.48494,0.46552,1.07578,14.9279,1.7043,21.00764,566.37744,3.69438,12.31492,1.14986,0.46142,0.53472,0.07644,5.634,3.08024,7.17432,1.70116,0.22774,5.0998,5.54292,0.23442,3.31034,0.61968,3.12564,0.38622,1.78638,1.15598,1.392,1.30454,8.31176,10.21382,1.083,0.46012,23.42364,2.84838,45.31894,89.00072,0.54084,7.08762,0.2344
UY,0.00172,0.00104,0.0089,0.1907,0.0105,0.15236,0.0283,0.08338,0.02678,0.01182,0.36434,0.01062,0.08556,0.20882,0.00256,0.00334,0.08882,0.04546,0.1754,0.2596,0.007,0.04484,0.01624,0.00682,0.00132,0.02606,0.00234,0.00696,0.0876,0.01044,0.12884,3.41164,0.02238,0.07326,0.00728,0.00246,0.0035,0.00038,0.03322,0.01866,0.0431,0.00984,0.00134,0.03176,0.03342,0.00126,0.01862,0.00384,0.01952,0.0021,0.0107,0.00624,0.00788,0.00746,0.04826,0.06018,0.00632,0.0026,0.14012,0.01804,0.27162,0.54084,0.0,0.04238,0.0013
ZA,0.02342,0.01216,0.10704,2.51174,0.14034,2.009,0.37104,1.0559,0.34096,0.15312,4.78464,0.13298,1.16088,2.72222,0.03592,0.0399,1.17038,0.61022,2.29234,3.37276,0.09006,0.59368,0.20458,0.08916,0.01766,0.35,0.03564,0.0834,1.16846,0.136,1.64854,44.94644,0.28998,0.96226,0.09098,0.0355,0.04114,0.00614,0.44934,0.24464,0.5693,0.13336,0.01844,0.40484,0.43726,0.01718,0.25612,0.04752,0.25074,0.02968,0.13984,0.09012,0.11006,0.10358,0.65052,0.79644,0.08368,0.03554,1.86534,0.22282,3.55464,7.08762,0.04238,0.50424,0.01818
ZM,0.00072,0.00024,0.00374,0.0843,0.00428,0.0631,0.01164,0.03424,0.011,0.00476,0.15476,0.0044,0.0375,0.08922,0.0013,0.0015,0.03836,0.02022,0.0719,0.10886,0.0032,0.01942,0.00676,0.00322,0.0006,0.01212,0.0011,0.0029,0.03636,0.00426,0.05272,1.47372,0.00844,0.03024,0.00296,0.00108,0.00126,0.00014,0.01368,0.00774,0.0181,0.00466,0.00064,0.01318,0.01432,0.00054,0.00824,0.00168,0.00866,0.001,0.0041,0.0031,0.0034,0.00312,0.02192,0.02674,0.00274,0.00118,0.0599,0.0074,0.11354,0.2344,0.0013,0.01818,0.0
